id;titulo;endereco;taxa;Area;quartos;suites;banheiros;vagas;preco;;;;;
37620892;Apartamento com 3 Quartos à Venda, 98m²;Rua da Lagosta, 100 - Ponta Negra, Natal - RN;R$ 360;98;3;1;3;2;R$ 319.000;;;;;
43917874;Apartamento com 3 Quartos à Venda, 62m²;Largo Capim Macio - Capim Macio, Natal - RN;R$ 300;62;3;1;2;1;R$ 250.000;;;;;
43947992;Apartamento com  Quarto à Venda, 40m²;Avenida Estrela do Mar - Ponta Negra, Natal - RN;;40;1;1;1;1;R$ 185.000;;;;;
46011165;Casa com 2 Quartos à Venda, 61m²;Rua Maranata - Planalto, Natal - RN;;61;2;--;2;1;R$ 169.900;;;;;
47439586;Apartamento com 2 Quartos à Venda, 60m²;Ponta Negra, Natal - RN;R$ 362;60;2;1;1;1;R$ 269.000;;;;;
48697293;Apartamento com 3 Quartos à Venda, 119m²;Avenida Miguel Castro, 844 - Lagoa Nova, Natal - RN;R$ 750;119;3;1;3;2;R$ 650.000;;;;;
49843252;Casa com 4 Quartos à Venda, 230m²;Rua Henrique de Araújo Góes, 2037 - Lagoa Nova, Natal - RN;;230;4;2;5;8;R$ 350.000;;;;;
50128044;Apartamento com 4 Quartos à Venda, 400m²;Barro Vermelho, Natal - RN;R$ 975;400;4;4;6;3;R$ 1.000.000;;;;;
50631477;Cobertura com 3 Quartos à Venda/Aluguel 108m²;Rua Praia Farol da Barra, 95 - Ponta Negra, Natal - RN;R$ 1.250;108;3;1;3;1;R$ 1.500.000;;;;;
50631522;Cobertura com 2 Quartos para Venda/Aluguel 95m²;Avenida Engenheiro Roberto Freire, 9090 - Ponta Negra, Natal - RN;R$ 950;95;2;1;2;2;R$ 850.000;;;;;
50636112;Apartamento com 2 Quartos à Venda, 56m²;Rua Tenente Olavo Francisco dos Santos, 100 - Ponta Negra, Natal - RN;R$ 270;56;2;1;2;1;R$ 285.000;;;;;
50734846;Casa com 3 Quartos à Venda, 250m²;Rua Abaeté, 1557 - Capim Macio, Natal - RN;;250;3;1;4;2;R$ 400.000;;;;;
50735389;Apartamento com 2 Quartos à Venda, 54m²;Ponta Negra, Natal - RN;R$ 600;54;2;2;2;1;R$ 380.000;;;;;
50736433;Apartamento com 2 Quartos para Venda/Aluguel 54m²;Avenida Engenheiro Roberto Freire - Ponta Negra, Natal - RN;R$ 420;54;2;2;2;1;R$ 370.000;;;;;
51265589;Apartamento com 2 Quartos à Venda, 55m²;Capim Macio, Natal - RN;R$ 230;55;2;1;2;2;R$ 285.000;;;;;
52011872;Apartamento com 2 Quartos à Venda/Aluguel 54m²;Rua Leonora Armstrong, 100 - Ponta Negra, Natal - RN;R$ 520;54;2;1;2;1;R$ 279.000;;;;;
52056644;Apartamento com 3 Quartos à Venda, 109m²;Avenida Deputado Antônio Florêncio de Queiroz - Ponta Negra, Natal - RN;R$ 650;109;3;1;3;2;R$ 430.000;;;;;
52267420;Cobertura com 2 Quartos à Venda, 121m²;Avenida Deputado Antônio Florêncio de Queiroz, 2995 - Ponta Negra, Natal - RN;R$ 600;121;2;2;3;2;R$ 690.000;;;;;
52505541;Lote/Terreno    à Venda, 3600m²;Ponta Negra, Natal - RN;;3600;--;--;--;--;R$ 1.200.000;;;;;
