id;titulo;logradouro;bairro;cidade;taxa;Area;quartos;suites;banheiros;vagas;preco;soma_comodos;area_comodo;preco_m2
47439586;Apartamento com 2 Quartos à Venda, 60m²                     ; ;Ponta Negra; Natal-RN                                                   ; 362     ; 000060,00; 0002,00;1  ;1,0;1;269000,0;3,0;0,05;4483,3333333333
50128044;Apartamento com 4 Quartos à Venda, 400m²                    ; ;Barro Vermelho; Natal-RN                                                   ; 975     ; 000400,00; 0004,00;4  ;6,0;3;1000000,0;10,0;0,025;2500,0
50735389;Apartamento com 2 Quartos à Venda, 54m²                     ; ;Ponta Negra; Natal-RN                                                   ; 600     ; 000054,00; 0002,00;2  ;2,0;1;380000,0;4,0;0,0740740741;7037,037037037
51265589;Apartamento com 2 Quartos à Venda, 55m²                     ; ;Capim Macio; Natal-RN                                                   ; 230     ; 000055,00; 0002,00;1  ;2,0;2;285000,0;4,0;0,0727272727;5181,8181818182
52505541;Lote/Terreno    à Venda, 3600m²                             ; ;Ponta Negra; Natal-RN                                                   ;         ; 003600,00;;   ;;;1200000,0;;;333,3333333333
53838553;Apartamento com 3 Quartos à Venda, 98m²                     ; ;Tirol; Natal-RN                                                   ;         ; 000098,00; 0003,00;1  ;1,0;2;575839,0;4,0;0,0408163265;5875,9081632653
53877490;Apartamento com 2 Quartos à Venda, 52m²                     ; ;Ponta Negra; Natal-RN                                                   ;         ; 000052,00; 0002,00;1  ;1,0;1;271000,0;3,0;0,0576923077;5211,5384615385
53946083;Apartamento com 3 Quartos à Venda, 137m²                    ; ;Lagoa Nova; Natal-RN                                                   ;         ; 000137,00; 0003,00;3  ;1,0;4;766069,0;4,0;0,0291970803;5591,7445255474
53946168;Apartamento com 2 Quartos à Venda, 56m²                     ; ;Capim Macio; Natal-RN                                                   ;         ; 000056,00; 0002,00;1  ;1,0;1;290000,0;3,0;0,0535714286;5178,5714285714
53946203;Apartamento com  Quarto à Venda, 48m²                       ; ;Ponta Negra; Natal-RN                                                   ; 1.000   ; 000048,00; 0001,00;1  ;1,0;1;280000,0;2,0;0,0416666667;5833,3333333333
53946241;Apartamento com 2 Quartos à Venda, 55m²                     ; ;Ponta Negra; Natal-RN                                                   ; 200     ; 000055,00; 0002,00;1  ;1,0;1;230000,0;3,0;0,0545454545;4181,8181818182
53946267;Apartamento com 3 Quartos à Venda, 75m²                     ; ;Ponta Negra; Natal-RN                                                   ;         ; 000075,00; 0003,00;1  ;1,0;1;340000,0;4,0;0,0533333333;4533,3333333333
53948342;Apartamento com  Quarto à Venda, 63m²                       ; ;Ponta Negra; Natal-RN                                                   ; 310     ; 000063,00; 0001,00;1  ;1,0;1;340000,0;2,0;0,0317460317;5396,8253968254
53948359;Apartamento com 3 Quartos à Venda, 273m²                    ; ;Capim Macio; Natal-RN                                                   ; 1.600   ; 000273,00; 0003,00;3  ;1,0;3;670000,0;4,0;0,0146520147;2454,2124542125
